Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
241,Kansas City Roos,31.0,64.8,22.6,56.2,40.3,5.6,18.7,30.2,13.8,19.5,70.9,11.4,21.1,32.5,11.0,6.7,1.8,13.1,20.3
242,Central Connecticut Blue Devils,30.0,64.8,24.0,53.5,44.8,4.2,13.2,31.6,12.7,17.6,72.0,11.1,21.3,32.3,13.0,6.1,2.7,14.3,14.7
243,Cal State Bakersfield Roadrunners,29.0,64.7,22.3,56.7,39.3,6.4,20.1,31.8,13.7,20.2,67.8,12.8,19.9,32.8,10.6,5.4,2.3,13.2,18.3
244,Holy Cross Crusaders,32.0,64.6,23.2,54.0,43.0,4.6,14.6,31.4,13.6,20.1,67.8,13.6,22.3,36.0,14.1,8.5,3.2,15.9,19.8
245,SMU Mustangs,30.0,64.6,23.7,54.3,43.6,6.1,16.9,35.9,11.2,17.4,64.3,11.9,23.3,35.2,11.1,6.0,3.6,14.9,17.7
246,Eastern Illinois Panthers,30.0,64.5,23.5,53.3,44.2,5.1,14.3,36.0,12.3,17.2,71.8,10.7,23.4,34.1,12.9,5.0,1.9,12.9,17.5
247,American University Eagles,32.0,64.5,23.5,50.4,46.5,7.2,19.2,37.4,10.4,16.1,64.8,9.4,23.3,32.7,13.2,5.5,2.5,13.2,18.1
248,Drake Bulldogs,33.0,64.5,20.8,50.0,41.7,8.1,23.2,34.8,14.8,19.6,75.3,9.2,23.5,32.7,11.6,6.3,2.2,12.8,15.6
249,Nebraska Cornhuskers,31.0,64.5,22.1,50.7,43.7,6.6,18.4,36.1,13.6,19.4,70.2,7.3,20.5,27.8,13.2,8.5,1.7,11.5,17.8
250,Texas Southern Tigers,32.0,64.5,23.9,52.3,45.7,3.8,11.9,32.2,12.9,20.9,61.5,10.4,20.5,30.9,11.8,7.5,2.3,17.7,21.8
251,Bowling Green Falcons,33.0,64.4,23.5,54.4,43.2,6.2,17.7,35.3,11.2,16.6,67.5,11.5,24.4,35.9,12.6,6.7,3.6,12.9,17.2
252,High Point Panthers,30.0,64.4,24.3,57.3,42.4,5.9,18.9,31.4,9.8,15.6,62.5,13.4,24.4,37.8,12.8,7.0,4.4,16.1,17.2
253,Manhattan Jaspers,30.0,64.4,21.8,54.5,39.9,5.1,16.3,31.5,15.7,24.3,64.7,12.7,23.9,36.6,9.9,7.5,3.6,13.8,19.0
254,DePaul Blue Demons,33.0,64.3,23.6,58.2,40.6,5.7,19.2,29.6,11.4,18.5,61.6,12.9,21.8,34.7,11.3,6.8,3.1,12.5,15.2
255,Centenary (LA) Gentlemen,31.0,64.3,22.4,55.5,40.3,7.5,21.7,34.5,12.0,17.7,67.9,9.5,20.4,29.8,12.0,8.9,2.6,13.7,21.9
256,Bucknell Bison,30.0,64.3,22.6,58.9,38.4,7.1,20.6,34.3,11.9,17.6,67.8,10.7,26.8,37.5,11.3,4.8,2.5,14.2,20.0
257,Hawai'i Rainbow Warriors,30.0,64.0,22.0,51.8,42.4,3.5,12.5,28.3,16.6,23.2,71.4,13.1,21.6,34.7,12.9,5.7,3.8,15.9,18.8
258,UAlbany Great Danes,31.0,64.0,23.1,55.3,41.7,4.2,14.3,29.4,13.7,19.0,71.9,13.7,25.2,38.9,11.8,5.2,2.0,15.3,20.2
259,Marist Red Foxes,33.0,64.0,22.4,55.3,40.5,7.3,20.3,36.0,11.9,18.8,63.3,9.6,25.7,35.3,10.8,5.7,2.7,15.5,20.4
260,Lehigh Mountain Hawks,29.0,63.9,21.7,56.3,38.5,5.5,17.1,32.0,15.1,21.9,68.8,12.2,27.4,39.6,11.8,6.0,2.4,13.4,18.2
261,McNeese Cowboys,29.0,63.9,23.9,55.5,43.0,4.9,15.2,32.3,11.3,17.4,64.6,12.5,26.5,39.0,12.3,5.6,5.9,15.8,16.5
262,Coppin State Eagles,32.0,63.8,22.8,55.2,41.3,5.8,16.7,34.6,12.5,17.3,72.1,10.5,20.5,31.0,9.6,7.9,1.4,12.6,16.5
263,Wisconsin Badgers,33.0,63.8,22.3,51.1,43.6,6.5,17.9,36.0,12.8,17.7,72.6,9.6,21.3,30.9,11.9,4.9,2.6,10.0,16.0
264,TCU Horned Frogs,31.0,63.8,22.0,51.4,42.8,5.8,17.8,32.5,14.1,19.2,73.3,9.3,21.8,31.0,12.5,5.7,1.1,13.5,18.3
