Ranking,Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
201,Western Michigan Broncos,32.0,73.4,25.6,56.3,45.4,9.1,24.4,37.2,13.2,18.3,72.2,9.0,25.2,34.3,13.3,5.2,2.9,13.8,18.0
202,Dayton Flyers,31.0,73.5,26.6,56.6,47.0,8.5,22.1,38.3,11.8,16.5,71.5,8.9,22.7,31.6,14.7,6.0,2.4,12.5,17.4
203,Chattanooga Mocs,33.0,73.5,27.3,56.9,48.0,6.9,19.6,35.2,11.9,15.9,74.7,8.6,24.9,33.5,13.4,7.2,3.5,13.0,19.4
204,UNC Asheville Bulldogs,34.0,73.5,26.0,57.7,45.0,7.6,22.3,34.3,13.9,19.6,70.8,9.2,23.9,33.1,13.9,6.4,2.9,13.2,16.9
205,UT Arlington Mavericks,33.0,73.5,25.1,61.0,41.1,9.1,27.3,33.3,14.2,20.6,69.0,10.9,25.2,36.1,13.5,7.0,2.5,14.6,18.9
206,Cal State Northridge Matadors,30.0,73.5,26.7,57.5,46.4,6.5,18.1,35.7,13.7,18.9,72.3,10.8,26.0,36.8,14.3,5.9,3.7,11.1,16.2
207,Delaware Blue Hens,33.0,73.6,26.3,57.8,45.5,8.3,22.4,37.0,12.6,17.4,72.5,9.0,25.5,34.5,13.7,5.3,3.0,10.2,18.3
208,Kent State Golden Flashes,34.0,73.6,26.2,58.8,44.6,7.3,21.6,33.7,13.8,19.3,71.6,10.4,24.7,35.1,13.8,5.6,3.1,12.9,18.6
209,Sacramento State Hornets,32.0,73.7,25.6,56.3,45.5,7.7,20.7,37.3,14.7,19.3,76.1,9.8,26.0,35.9,13.0,5.6,3.1,12.1,17.2
210,La Salle Explorers,32.0,73.8,26.2,58.1,45.2,7.5,19.8,38.1,13.8,19.6,70.3,8.8,26.7,35.5,11.8,6.3,2.9,12.4,17.3
211,VMI Keydets,30.0,73.8,25.6,57.6,44.4,8.2,24.2,34.0,14.4,20.1,71.9,10.4,27.6,38.0,13.9,7.1,3.1,13.7,15.6
212,Yale Bulldogs,31.0,73.8,26.6,57.8,46.0,6.9,20.4,33.9,13.7,19.0,72.3,9.0,25.2,34.2,13.8,6.9,2.6,12.8,17.4
213,Ball State Cardinals,32.0,73.8,26.3,61.8,42.5,8.1,22.3,36.1,13.2,18.1,72.8,10.6,25.7,36.3,13.1,6.9,3.5,12.0,19.0
214,Illinois Fighting Illini,32.0,73.8,24.6,52.2,47.2,6.3,18.2,34.4,18.3,25.1,73.1,9.3,23.9,33.2,12.8,6.3,4.7,17.0,20.4
215,American University Eagles,30.0,73.8,25.9,53.2,48.7,6.6,17.3,38.3,15.5,21.7,71.4,9.5,25.8,35.3,13.7,6.9,3.6,13.8,16.6
216,DePaul Blue Demons,31.0,73.8,25.4,57.7,44.0,9.2,24.8,37.1,13.8,18.6,74.2,9.8,25.2,34.9,14.9,7.1,3.0,14.4,18.0
217,Seton Hall Pirates,34.0,73.9,26.6,60.5,43.9,7.7,22.8,33.8,13.1,18.0,72.4,10.3,23.5,33.8,13.0,5.9,3.3,12.7,19.5
218,Central Michigan Chippewas,36.0,73.9,26.8,60.4,44.5,8.8,25.4,34.8,11.4,15.8,72.5,10.6,24.6,35.3,13.6,5.6,3.6,12.9,18.1
219,Vanderbilt Commodores,32.0,74.0,26.3,56.4,46.6,6.6,17.6,37.4,14.9,20.6,72.1,9.2,24.2,33.3,12.3,4.8,4.2,9.9,17.9
220,Creighton Bluejays,33.0,74.1,27.5,63.4,43.3,7.9,23.8,33.2,11.2,15.5,72.1,9.3,25.8,35.2,13.9,6.1,3.0,11.7,16.0
221,Tulane Green Wave,31.0,74.1,26.3,59.0,44.6,6.9,20.1,34.5,14.5,20.4,71.4,10.7,25.2,35.8,12.4,6.9,2.9,12.1,18.4
222,Longwood Lancers,33.0,74.1,25.9,58.8,44.1,8.0,24.4,32.7,14.2,19.7,72.3,11.2,26.5,37.7,13.0,7.8,2.9,12.7,16.7
223,Army Black Knights,30.0,74.1,25.2,57.0,44.3,8.4,23.3,35.9,15.3,21.3,71.6,9.4,27.0,36.4,13.5,6.7,3.6,14.2,15.6
224,Portland Pilots,32.0,74.1,26.2,60.2,43.5,8.5,24.8,34.2,13.3,19.0,69.8,11.1,26.0,37.1,15.2,5.4,2.6,11.0,18.7
225,Appalachian State Mountaineers,33.0,74.2,25.9,59.2,43.7,7.0,19.4,36.2,15.4,21.4,72.1,9.2,26.5,35.7,12.3,6.6,3.2,13.0,20.8
226,South Dakota State Jackrabbits,35.0,74.3,27.3,63.9,42.7,8.3,25.0,33.3,11.4,15.8,71.8,8.8,26.8,35.6,11.7,4.9,2.6,10.6,19.1
227,Cal Poly Mustangs,31.0,74.3,26.3,57.7,45.6,7.4,19.2,38.3,14.3,19.1,74.5,9.9,27.1,37.0,14.5,5.9,3.6,11.3,15.8
228,Wake Forest Demon Deacons,31.0,74.4,24.8,56.5,44.0,8.5,22.6,37.7,16.1,22.0,73.2,9.5,24.8,34.3,14.2,6.5,3.6,12.3,17.7
229,Idaho State Bengals,30.0,74.4,27.2,59.6,45.6,6.9,20.5,33.8,13.1,18.5,70.6,9.7,25.0,34.7,11.8,5.9,2.9,11.9,19.6
230,Lafayette Leopards,31.0,74.4,27.6,60.8,45.4,8.0,23.1,34.5,11.2,16.1,69.9,9.7,25.4,35.1,12.6,5.9,3.0,10.3,17.5
231,North Carolina A&T Aggies,35.0,74.4,27.3,59.8,45.7,6.8,20.7,33.0,13.0,18.9,68.7,10.1,24.6,34.7,13.8,5.9,3.1,13.2,19.8
